Cell types,Cluster annotations,Organ of origin
Oligodendrocyte Lineage cells_Mal high(Arc-Me),Oligodendrocyte,Brain
Ependymocytes(Arc-Me),Ependymocyte,Brain
Mural cells(Arc-Me),Mural_cell,Brain
Pars Tuberalis cells_Cyp2f2 high(Arc-Me),Pars_tuberalis_cell,Brain
Tanycyte_Scn7a high(Arc-Me),Tanycyte,Brain
Oligodendrocyte precursor cells(Arc-Me),Oligodendrocyte_precursor,Brain
POMC neurons(Arc-Me),Neuron,Brain
Kiss1/Tac2 neuron(Arc-Me),Neuron,Brain
Rgs16 neurons(Arc-Me),Neuron,Brain
Slc17a6/Rgs16 neurons(Arc-Me),Neuron,Brain
Ghrh/Th neurons(Arc-Me),Neuron,Brain
Pars Tuberalis cells_Cga high(Arc-Me),Pars_tuberalis_cell,Brain
SST neurons(Arc-Me),Neuron,Brain
Slc17a6/Bdnf neuron(Arc-Me),Neuron,Brain
PVMMicro(Arc-Me),Microglia,Brain
Astrocyte(Arc-Me),Astrocyte,Brain
Tanycyte_Crym high(Arc-Me),Tanycyte,Brain
Vascular and Leptomeningeal cells(Arc-Me),Vascular_Leptomeningeal,Brain
Oligodendrocyte Lineage cells_Enpp6 high(Arc-Me),Oligodendrocyte,Brain
AgRP neurons(Arc-Me),Neuron,Brain
Endothelial cells(Arc-Me),Endothelial_cell,Brain
Stromal cell_Dpt high(Bladder),Stromal_cell,Bladder
Epithelial cell_Gm23935 high(Bladder),Epithelial_cell,Bladder
Macrophage_Pf4 high(Bladder),Immune_cell,Bladder
Dendritic cell_Cd74 high(Bladder),Immune_cell,Bladder
Dendritic cell_Lyz2 high(Bladder),Immune_cell,Bladder
Endothelial cell_Ly6c1 high(Bladder),Endothelial_cell,Bladder
NK cell(Bladder),Immune_cell,Bladder
Vascular smooth muscle progenitor cell(Bladder),Smooth_muscle_progenitor,Bladder
Mesenchymal stromal cell(Bladder),Mesenchymal_stromal_cell,Bladder
Basal epithelial cell(Bladder),Epithelial_cell,Bladder
Urothelium(Bladder),Urothelial_cell,Bladder
Stromal cell_Car3 high(Bladder),Stromal_cell,Bladder
Epithelial cell_Upk3a high(Bladder),Epithelial_cell,Bladder
Smooth muscle cell(Bladder),Smooth_muscle_cell,Bladder
Vascular endothelial cell(Bladder),Endothelial_cell,Bladder
Umbrella cell(Bladder),Umbrella_cell,Bladder
Neutrophil_Cebpe high(Bone-Marrow),Immune_cell,Bone-Marrow
Neutrophil_Fcnb high(Bone-Marrow),Immune_cell,Bone-Marrow
B cell_Igkc high(Bone-Marrow),Immune_cell,Bone-Marrow
Macrophage_S100a4 high(Bone-Marrow),Immune_cell,Bone-Marrow
T cell_Ms4a4b high(Bone-Marrow),Immune_cell,Bone-Marrow
Dendritic cell_Siglech high(Bone-Marrow),Immune_cell,Bone-Marrow
Mast cell(Bone-Marrow),Mast_cell,Bone-Marrow
Dendritic cell_H2-Eb1 high(Bone-Marrow),Immune_cell,Bone-Marrow
Monocyte_Mif high(Bone-Marrow),Immune_cell,Bone-Marrow
Neutrophil_Mmp8 high(Bone-Marrow),Immune_cell,Bone-Marrow
Neutrophil progenitor(Bone-Marrow),Neutrophil_progenitor,Bone-Marrow
Monocyte_Prtn3 high(Bone-Marrow),Immune_cell,Bone-Marrow
Macrophage_Ms4a6c high(Bone-Marrow),Immune_cell,Bone-Marrow
Neutrophil_Ngp high(Bone-Marrow),Immune_cell,Bone-Marrow
Pre-pro B cell(Bone-Marrow),Pre_pro_B_cell,Bone-Marrow
